team_size,seed,cmd,exit_code,stdout,stderr,duration
4,1,/home/dragojla/miniconda3/bin/python3 /home/dragojla/main.py --env_name traffic_junction --nagents 20 --hier_local_attn --team_size 4 --hid_size 128 --comm_passes 1 --lrate 5e-5 --entr 5e-5 --batch_size 500 --num_epochs 400 --seed 1 --save /home/dragojla/model_20agents_HierLocal_k4_s1.pt --log_path /home/dragojla/run_log_20agents_HierLocal_k4_s1.pt,1,/home/dragojla/logs/sweep_team_size/k4_s1_20260501-182920.out,/home/dragojla/logs/sweep_team_size/k4_s1_20260501-182920.err,3.452176809310913
4,2,/home/dragojla/miniconda3/bin/python3 /home/dragojla/main.py --env_name traffic_junction --nagents 20 --hier_local_attn --team_size 4 --hid_size 128 --comm_passes 1 --lrate 5e-5 --entr 5e-5 --batch_size 500 --num_epochs 400 --seed 2 --save /home/dragojla/model_20agents_HierLocal_k4_s2.pt --log_path /home/dragojla/run_log_20agents_HierLocal_k4_s2.pt,1,/home/dragojla/logs/sweep_team_size/k4_s2_20260501-182924.out,/home/dragojla/logs/sweep_team_size/k4_s2_20260501-182924.err,2.8020644187927246
4,3,/home/dragojla/miniconda3/bin/python3 /home/dragojla/main.py --env_name traffic_junction --nagents 20 --hier_local_attn --team_size 4 --hid_size 128 --comm_passes 1 --lrate 5e-5 --entr 5e-5 --batch_size 500 --num_epochs 400 --seed 3 --save /home/dragojla/model_20agents_HierLocal_k4_s3.pt --log_path /home/dragojla/run_log_20agents_HierLocal_k4_s3.pt,1,/home/dragojla/logs/sweep_team_size/k4_s3_20260501-182927.out,/home/dragojla/logs/sweep_team_size/k4_s3_20260501-182927.err,2.554288864135742
6,1,/home/dragojla/miniconda3/bin/python3 /home/dragojla/main.py --env_name traffic_junction --nagents 20 --hier_local_attn --team_size 6 --hid_size 128 --comm_passes 1 --lrate 5e-5 --entr 5e-5 --batch_size 500 --num_epochs 400 --seed 1 --save /home/dragojla/model_20agents_HierLocal_k6_s1.pt --log_path /home/dragojla/run_log_20agents_HierLocal_k6_s1.pt,1,/home/dragojla/logs/sweep_team_size/k6_s1_20260501-182929.out,/home/dragojla/logs/sweep_team_size/k6_s1_20260501-182929.err,2.9136970043182373
6,2,/home/dragojla/miniconda3/bin/python3 /home/dragojla/main.py --env_name traffic_junction --nagents 20 --hier_local_attn --team_size 6 --hid_size 128 --comm_passes 1 --lrate 5e-5 --entr 5e-5 --batch_size 500 --num_epochs 400 --seed 2 --save /home/dragojla/model_20agents_HierLocal_k6_s2.pt --log_path /home/dragojla/run_log_20agents_HierLocal_k6_s2.pt,1,/home/dragojla/logs/sweep_team_size/k6_s2_20260501-182932.out,/home/dragojla/logs/sweep_team_size/k6_s2_20260501-182932.err,2.7656307220458984
6,3,/home/dragojla/miniconda3/bin/python3 /home/dragojla/main.py --env_name traffic_junction --nagents 20 --hier_local_attn --team_size 6 --hid_size 128 --comm_passes 1 --lrate 5e-5 --entr 5e-5 --batch_size 500 --num_epochs 400 --seed 3 --save /home/dragojla/model_20agents_HierLocal_k6_s3.pt --log_path /home/dragojla/run_log_20agents_HierLocal_k6_s3.pt,1,/home/dragojla/logs/sweep_team_size/k6_s3_20260501-182935.out,/home/dragojla/logs/sweep_team_size/k6_s3_20260501-182935.err,2.560638666152954
8,1,/home/dragojla/miniconda3/bin/python3 /home/dragojla/main.py --env_name traffic_junction --nagents 20 --hier_local_attn --team_size 8 --hid_size 128 --comm_passes 1 --lrate 5e-5 --entr 5e-5 --batch_size 500 --num_epochs 400 --seed 1 --save /home/dragojla/model_20agents_HierLocal_k8_s1.pt --log_path /home/dragojla/run_log_20agents_HierLocal_k8_s1.pt,1,/home/dragojla/logs/sweep_team_size/k8_s1_20260501-182937.out,/home/dragojla/logs/sweep_team_size/k8_s1_20260501-182937.err,2.551482915878296
8,2,/home/dragojla/miniconda3/bin/python3 /home/dragojla/main.py --env_name traffic_junction --nagents 20 --hier_local_attn --team_size 8 --hid_size 128 --comm_passes 1 --lrate 5e-5 --entr 5e-5 --batch_size 500 --num_epochs 400 --seed 2 --save /home/dragojla/model_20agents_HierLocal_k8_s2.pt --log_path /home/dragojla/run_log_20agents_HierLocal_k8_s2.pt,1,/home/dragojla/logs/sweep_team_size/k8_s2_20260501-182940.out,/home/dragojla/logs/sweep_team_size/k8_s2_20260501-182940.err,2.951125144958496
8,3,/home/dragojla/miniconda3/bin/python3 /home/dragojla/main.py --env_name traffic_junction --nagents 20 --hier_local_attn --team_size 8 --hid_size 128 --comm_passes 1 --lrate 5e-5 --entr 5e-5 --batch_size 500 --num_epochs 400 --seed 3 --save /home/dragojla/model_20agents_HierLocal_k8_s3.pt --log_path /home/dragojla/run_log_20agents_HierLocal_k8_s3.pt,1,/home/dragojla/logs/sweep_team_size/k8_s3_20260501-182943.out,/home/dragojla/logs/sweep_team_size/k8_s3_20260501-182943.err,2.570188283920288
10,1,/home/dragojla/miniconda3/bin/python3 /home/dragojla/main.py --env_name traffic_junction --nagents 20 --hier_local_attn --team_size 10 --hid_size 128 --comm_passes 1 --lrate 5e-5 --entr 5e-5 --batch_size 500 --num_epochs 400 --seed 1 --save /home/dragojla/model_20agents_HierLocal_k10_s1.pt --log_path /home/dragojla/run_log_20agents_HierLocal_k10_s1.pt,1,/home/dragojla/logs/sweep_team_size/k10_s1_20260501-182946.out,/home/dragojla/logs/sweep_team_size/k10_s1_20260501-182946.err,2.8781967163085938
